workout_id,member_id,activity_date,steps,distance_km,very_active_minutes,moderately_active_minutes,light_active_minutes,sedentary_minutes,calories_burned,source
wkt_0000130,mem_c64b69ecb4d5,2026-08-04,7303,7.89,0,8,308,733,2423,real_fitbit
wkt_0000131,mem_c64b69ecb4d5,2026-08-05,5275,5.7,0,0,266,641,2281,real_fitbit
wkt_0000132,mem_3442ab64245b,2026-06-24,5643,6.1,3,8,199,683,1958,real_fitbit
wkt_0000133,mem_3442ab64245b,2026-06-25,9043,9.77,4,12,244,702,2141,real_fitbit
wkt_0000134,mem_3442ab64245b,2026-06-26,8144,8.79,4,17,247,1125,2129,real_fitbit
wkt_0000135,mem_3442ab64245b,2026-06-27,9343,10.09,14,20,268,654,2216,real_fitbit
wkt_0000136,mem_3442ab64245b,2026-06-28,7753,8.37,0,0,0,1440,2115,real_fitbit
wkt_0000137,mem_3442ab64245b,2026-06-29,8204,8.85,8,15,96,1234,2135,real_fitbit
wkt_0000138,mem_3442ab64245b,2026-06-30,10210,11.07,1,9,339,589,2302,real_fitbit
wkt_0000139,mem_3442ab64245b,2026-07-01,5664,6.12,0,0,228,752,1985,real_fitbit
wkt_0000140,mem_3442ab64245b,2026-07-02,4744,5.12,0,0,194,724,1884,real_fitbit
wkt_0000141,mem_3442ab64245b,2026-07-03,29,0.03,0,0,3,1363,1464,real_fitbit
wkt_0000142,mem_3442ab64245b,2026-07-04,2276,2.49,1,9,58,824,1632,real_fitbit
wkt_0000143,mem_3442ab64245b,2026-07-05,8925,9.64,0,0,311,604,2200,real_fitbit
wkt_0000144,mem_3442ab64245b,2026-07-06,8405,9.11,15,4,257,621,2154,real_fitbit
wkt_0000145,mem_3442ab64245b,2026-07-07,8954,9.67,0,18,306,671,2220,real_fitbit
wkt_0000146,mem_3442ab64245b,2026-07-08,3702,3.99,0,0,34,1265,1792,real_fitbit
wkt_0000147,mem_3442ab64245b,2026-07-09,4500,4.86,1,19,176,709,1886,real_fitbit
wkt_0000148,mem_3442ab64245b,2026-07-10,4935,5.33,0,0,233,546,1945,real_fitbit
wkt_0000149,mem_3442ab64245b,2026-07-11,4081,4.41,1,5,191,692,1880,real_fitbit
wkt_0000150,mem_3442ab64245b,2026-07-12,9259,9.99,0,8,390,544,2314,real_fitbit
wkt_0000151,mem_3442ab64245b,2026-07-13,9899,10.69,8,21,288,649,2236,real_fitbit
wkt_0000152,mem_3442ab64245b,2026-07-14,10780,11.64,6,47,300,680,2324,real_fitbit
wkt_0000153,mem_3442ab64245b,2026-07-15,10817,11.72,13,8,359,552,2367,real_fitbit
wkt_0000154,mem_3442ab64245b,2026-07-16,7990,8.63,6,18,289,624,2175,real_fitbit
wkt_0000155,mem_3442ab64245b,2026-07-17,8223,8.88,12,37,257,551,2178,real_fitbit
wkt_0000156,mem_3442ab64245b,2026-07-18,8221,8.88,6,38,196,695,2092,real_fitbit
wkt_0000157,mem_3442ab64245b,2026-07-19,10067,10.88,5,39,313,578,2308,real_fitbit
wkt_0000158,mem_3442ab64245b,2026-07-20,8359,9.06,3,14,311,638,2201,real_fitbit
wkt_0000159,mem_3442ab64245b,2026-07-21,10946,11.83,8,51,308,569,2341,real_fitbit
wkt_0000160,mem_3442ab64245b,2026-07-22,9130,9.9,7,11,304,668,2236,real_fitbit
wkt_0000161,mem_3442ab64245b,2026-07-23,6544,7.1,4,6,276,1132,2069,real_fitbit
wkt_0000162,mem_3442ab64245b,2026-07-24,0,0.0,0,0,0,1440,0,real_fitbit
wkt_0000163,mem_3442ab64245b,2026-07-25,1251,1.35,0,0,67,836,1593,real_fitbit
wkt_0000164,mem_3442ab64245b,2026-07-26,9487,10.25,3,12,329,555,2260,real_fitbit
wkt_0000165,mem_3442ab64245b,2026-07-27,9129,9.87,3,18,311,574,2232,real_fitbit
wkt_0000166,mem_3442ab64245b,2026-07-28,17,0.02,0,0,2,0,257,real_fitbit
wkt_0000167,mem_3442ab64245b,2026-07-29,9261,10.04,0,11,344,585,2270,real_fitbit
wkt_0000168,mem_3442ab64245b,2026-07-30,9648,10.41,8,26,287,669,2235,real_fitbit
wkt_0000169,mem_3442ab64245b,2026-07-31,10429,11.3,8,13,313,1106,2282,real_fitbit
wkt_0000170,mem_3442ab64245b,2026-08-01,13658,15.27,27,34,328,957,2530,real_fitbit
wkt_0000171,mem_3442ab64245b,2026-08-02,9524,10.33,6,11,314,692,2266,real_fitbit
wkt_0000172,mem_3442ab64245b,2026-08-03,7937,8.58,3,28,279,586,2158,real_fitbit
wkt_0000173,mem_3442ab64245b,2026-08-04,3672,3.96,0,0,153,603,1792,real_fitbit
wkt_0000174,mem_3442ab64245b,2026-08-05,10378,11.2,2,14,374,490,2345,real_fitbit
wkt_0000175,mem_db9dd8b91f36,2026-06-24,18700,25.46,67,3,247,1123,3527,real_fitbit
wkt_0000176,mem_db9dd8b91f36,2026-06-25,28497,44.31,128,46,211,1055,4526,real_fitbit
wkt_0000177,mem_db9dd8b91f36,2026-06-26,10622,12.97,18,7,225,1190,2820,real_fitbit
wkt_0000178,mem_db9dd8b91f36,2026-06-27,2350,2.86,0,0,58,531,938,real_fitbit
wkt_0000179,mem_db9dd8b91f36,2026-06-28,23186,32.83,85,7,312,1036,3921,real_fitbit
wkt_0000180,mem_db9dd8b91f36,2026-06-29,15337,15.42,108,18,216,1098,3566,real_fitbit
wkt_0000181,mem_db9dd8b91f36,2026-06-30,21129,30.55,68,13,298,1061,3793,real_fitbit
wkt_0000182,mem_db9dd8b91f36,2026-07-01,13422,11.54,106,1,281,1052,3934,real_fitbit
wkt_0000183,mem_db9dd8b91f36,2026-07-02,29326,40.7,94,29,429,888,4547,real_fitbit
wkt_0000184,mem_db9dd8b91f36,2026-07-03,15118,14.27,58,15,307,1060,3545,real_fitbit
wkt_0000185,mem_db9dd8b91f36,2026-07-04,11423,13.95,29,5,191,1215,2761,real_fitbit
wkt_0000186,mem_db9dd8b91f36,2026-07-05,18785,28.0,82,13,214,1131,3676,real_fitbit
wkt_0000187,mem_db9dd8b91f36,2026-07-06,27572,37.64,116,24,260,1040,4220,real_fitbit
wkt_0000188,mem_db9dd8b91f36,2026-07-07,19948,29.15,73,19,225,1123,3679,real_fitbit
wkt_0000189,mem_db9dd8b91f36,2026-07-08,19377,28.36,82,13,226,1119,3659,real_fitbit
wkt_0000190,mem_db9dd8b91f36,2026-07-09,18258,26.25,61,2,236,1141,3427,real_fitbit
wkt_0000191,mem_db9dd8b91f36,2026-07-10,11200,11.96,102,6,300,1032,3891,real_fitbit
wkt_0000192,mem_db9dd8b91f36,2026-07-11,16674,25.33,64,1,227,1148,3455,real_fitbit
wkt_0000193,mem_db9dd8b91f36,2026-07-12,12986,14.07,113,8,218,1101,3802,real_fitbit
wkt_0000194,mem_db9dd8b91f36,2026-07-13,11101,13.57,22,3,258,1157,2860,real_fitbit
wkt_0000195,mem_db9dd8b91f36,2026-07-14,23629,33.23,93,8,235,1104,3808,real_fitbit
wkt_0000196,mem_db9dd8b91f36,2026-07-15,14890,18.19,58,8,231,1143,3060,real_fitbit
wkt_0000197,mem_db9dd8b91f36,2026-07-16,9733,11.89,18,5,210,1207,2698,real_fitbit
wkt_0000198,mem_db9dd8b91f36,2026-07-17,15260,13.18,106,17,259,1058,3864,real_fitbit
wkt_0000199,mem_db9dd8b91f36,2026-07-18,27745,43.0,124,4,223,1089,4398,real_fitbit
wkt_0000200,mem_db9dd8b91f36,2026-07-19,20779,29.63,78,16,208,1138,3662,real_fitbit
wkt_0000201,mem_db9dd8b91f36,2026-07-20,10695,13.07,10,3,246,1181,2834,real_fitbit
wkt_0000202,mem_db9dd8b91f36,2026-07-21,24136,33.65,87,16,318,1019,4039,real_fitbit
wkt_0000203,mem_db9dd8b91f36,2026-07-22,10910,13.55,32,11,212,1185,2947,real_fitbit
wkt_0000204,mem_db9dd8b91f36,2026-07-23,23014,32.81,70,29,359,982,4196,real_fitbit
wkt_0000205,mem_db9dd8b91f36,2026-07-24,16470,12.99,90,9,289,1052,3841,real_fitbit
wkt_0000206,mem_db9dd8b91f36,2026-07-25,10930,13.39,36,12,166,1226,2786,real_fitbit
wkt_0000207,mem_db9dd8b91f36,2026-07-26,10733,13.12,18,11,224,1187,2832,real_fitbit
wkt_0000208,mem_db9dd8b91f36,2026-07-27,21420,31.48,88,12,213,1127,3832,real_fitbit
wkt_0000209,mem_db9dd8b91f36,2026-07-28,8064,9.85,23,1,137,770,1849,real_fitbit
wkt_0000210,mem_db9dd8b91f36,2026-07-29,4790,5.86,0,0,105,1335,2189,real_fitbit
wkt_0000211,mem_db9dd8b91f36,2026-07-30,10818,13.21,19,3,229,1189,2817,real_fitbit
wkt_0000212,mem_db9dd8b91f36,2026-07-31,18193,26.23,66,8,212,1154,3477,real_fitbit
wkt_0000213,mem_db9dd8b91f36,2026-08-01,14055,17.17,67,15,188,1170,3052,real_fitbit
wkt_0000214,mem_db9dd8b91f36,2026-08-02,21727,31.12,96,17,232,1095,4015,real_fitbit
wkt_0000215,mem_db9dd8b91f36,2026-08-03,12332,13.08,105,28,271,1036,4142,real_fitbit
wkt_0000216,mem_db9dd8b91f36,2026-08-04,10686,13.05,17,4,245,1174,2847,real_fitbit
wkt_0000217,mem_db9dd8b91f36,2026-08-05,20226,29.37,73,19,217,1131,3710,real_fitbit
wkt_0000218,mem_26ebfe430278,2026-06-24,4317,4.81,0,11,192,854,2590,real_fitbit
wkt_0000219,mem_26ebfe430278,2026-06-25,2105,2.35,0,0,139,805,2442,real_fitbit
wkt_0000220,mem_26ebfe430278,2026-06-26,1209,1.35,0,0,73,842,2255,real_fitbit
wkt_0000221,mem_26ebfe430278,2026-06-27,24,0.03,0,0,3,161,942,real_fitbit
wkt_0000222,mem_26ebfe430278,2026-06-28,678,0.76,0,0,55,734,2220,real_fitbit
wkt_0000223,mem_26ebfe430278,2026-06-29,356,0.4,0,0,32,986,2151,real_fitbit
wkt_0000224,mem_26ebfe430278,2026-06-30,2163,2.41,0,9,88,1292,2383,real_fitbit
wkt_0000225,mem_26ebfe430278,2026-07-01,980,1.09,0,0,51,941,2221,real_fitbit
wkt_0000226,mem_26ebfe430278,2026-07-02,0,0.0,0,0,0,1440,2064,real_fitbit
wkt_0000227,mem_26ebfe430278,2026-07-03,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000228,mem_26ebfe430278,2026-07-04,244,0.27,0,0,17,1423,2111,real_fitbit
wkt_0000229,mem_26ebfe430278,2026-07-05,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000230,mem_26ebfe430278,2026-07-06,5662,6.31,0,0,267,858,2783,real_fitbit
wkt_0000231,mem_26ebfe430278,2026-07-07,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000232,mem_26ebfe430278,2026-07-08,0,0.0,0,0,0,1440,2064,real_fitbit
wkt_0000233,mem_26ebfe430278,2026-07-09,149,0.16,0,0,10,1430,2093,real_fitbit
wkt_0000234,mem_26ebfe430278,2026-07-10,2945,3.28,0,0,145,1295,2499,real_fitbit
wkt_0000235,mem_26ebfe430278,2026-07-11,2090,2.33,1,6,75,1358,2324,real_fitbit
wkt_0000236,mem_26ebfe430278,2026-07-12,152,0.18,0,0,12,1303,2100,real_fitbit
wkt_0000237,mem_26ebfe430278,2026-07-13,3761,4.18,0,0,192,1058,2638,real_fitbit
wkt_0000238,mem_26ebfe430278,2026-07-14,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000239,mem_26ebfe430278,2026-07-15,1675,1.87,0,0,95,1167,2351,real_fitbit
wkt_0000240,mem_26ebfe430278,2026-07-16,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000241,mem_26ebfe430278,2026-07-17,3198,3.56,0,0,146,1183,2449,real_fitbit
wkt_0000242,mem_26ebfe430278,2026-07-18,0,0.0,0,0,0,1440,2064,real_fitbit
wkt_0000243,mem_26ebfe430278,2026-07-19,2352,2.62,0,0,128,829,2380,real_fitbit
wkt_0000244,mem_26ebfe430278,2026-07-20,2234,2.49,0,0,108,912,2344,real_fitbit
wkt_0000245,mem_26ebfe430278,2026-07-21,1259,1.4,0,0,73,938,2202,real_fitbit
wkt_0000246,mem_26ebfe430278,2026-07-22,768,0.85,0,0,43,1397,2130,real_fitbit
wkt_0000247,mem_26ebfe430278,2026-07-23,519,0.58,0,0,34,1406,2088,real_fitbit
wkt_0000248,mem_26ebfe430278,2026-07-24,2523,2.82,0,9,134,1250,2443,real_fitbit
wkt_0000249,mem_26ebfe430278,2026-07-25,2704,3.01,14,1,70,1355,2411,real_fitbit
wkt_0000250,mem_26ebfe430278,2026-07-26,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000251,mem_26ebfe430278,2026-07-27,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000252,mem_26ebfe430278,2026-07-28,0,0.0,0,0,0,966,1383,real_fitbit
wkt_0000253,mem_26ebfe430278,2026-07-29,3790,4.22,16,8,94,1322,2505,real_fitbit
wkt_0000254,mem_26ebfe430278,2026-07-30,1326,1.48,10,0,17,1413,2195,real_fitbit
wkt_0000255,mem_26ebfe430278,2026-07-31,1786,2.0,0,0,87,1353,2338,real_fitbit
wkt_0000256,mem_26ebfe430278,2026-08-01,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000257,mem_26ebfe430278,2026-08-02,2091,2.33,0,0,108,1332,2383,real_fitbit
wkt_0000258,mem_26ebfe430278,2026-08-03,1510,1.67,0,0,48,1392,2229,real_fitbit
wkt_0000259,mem_26ebfe430278,2026-08-04,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000260,mem_26ebfe430278,2026-08-05,0,0.0,0,0,0,1440,2063,real_fitbit
wkt_0000261,mem_b112b481661e,2026-06-28,6633,8.06,0,0,280,1160,2778,real_fitbit
