offer_id,application_id,borrower_id,lender_id,offered_amount,apr,term_months,offer_date,status
off_163ff2dc9b0c,app_2a5c21b9fb32,brw_8c408e255746,lnd_40648b57da4a,9151.85,0.3278,48,2026-09-19,declined
off_d7bfda960d75,app_d66dc65387d6,brw_8c408e255746,lnd_eb741dcfd1a0,6831.55,0.1328,48,2026-06-18,accepted
off_1fb70fbf654d,app_d66dc65387d6,brw_8c408e255746,lnd_68d1bb39a009,7225.19,0.1396,24,2026-06-19,declined
off_0808991290b1,app_d66dc65387d6,brw_8c408e255746,lnd_2e2adcc3d662,6705.79,0.1487,24,2026-06-20,declined
off_849e1168d806,app_d66dc65387d6,brw_8c408e255746,lnd_f0806e150f18,6706.47,0.1979,24,2026-06-20,declined
off_d42f39b8966b,app_d66dc65387d6,brw_8c408e255746,lnd_abf7ad1fc508,6592.82,0.2421,60,2026-06-19,declined
off_932aaca4627a,app_d66dc65387d6,brw_8c408e255746,lnd_40648b57da4a,7190.94,0.2134,36,2026-06-19,declined
off_740fe8f0060b,app_554b938f9cc4,brw_da6da610c67f,lnd_68d1bb39a009,11636.08,0.1307,24,2026-02-08,declined
off_88e7f77fdca3,app_554b938f9cc4,brw_da6da610c67f,lnd_2e2adcc3d662,13110.76,0.2087,36,2026-02-07,declined
off_6c57837b9b9f,app_554b938f9cc4,brw_da6da610c67f,lnd_f0806e150f18,11892.37,0.146,36,2026-02-06,declined
off_9a9c8278bc6a,app_554b938f9cc4,brw_da6da610c67f,lnd_abf7ad1fc508,13437.24,0.3066,36,2026-02-07,declined
off_3dd2c98e755e,app_554b938f9cc4,brw_da6da610c67f,lnd_40648b57da4a,11997.12,0.3262,36,2026-02-05,declined
off_67dee95593e7,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_ebd3fcc47db6,14892.63,0.0723,36,2025-08-16,declined
off_95ac69c02059,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_035d3bde8267,15744.71,0.0926,24,2025-08-17,declined
off_d022e56b242b,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_5201a46cec3a,16545.12,0.1307,36,2025-08-18,accepted
off_009d3e5f084e,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_68d1bb39a009,17921.6,0.1632,48,2025-08-19,declined
off_8aeb43e6aa56,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_f0806e150f18,16944.96,0.1439,48,2025-08-16,declined
off_6abc1014087f,app_c52d5f5f76ea,brw_b9a7a4f01a7c,lnd_40648b57da4a,17500.54,0.2924,24,2025-08-17,declined
off_8b292955013a,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_ebd3fcc47db6,6417.5,0.0766,36,2025-07-21,declined
off_5a759c146552,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_035d3bde8267,6833.11,0.0999,60,2025-07-22,accepted
off_ffef2a24dd39,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_5201a46cec3a,7038.09,0.1343,60,2025-07-22,declined
off_579220b3caab,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_68d1bb39a009,6650.23,0.1456,60,2025-07-24,declined
off_b10ea551b518,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_2e2adcc3d662,7335.59,0.2181,48,2025-07-23,declined
off_a59351b277dc,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_abf7ad1fc508,6420.3,0.2543,36,2025-07-24,declined
off_adaad56c2471,app_45feb89dd778,brw_b9a7a4f01a7c,lnd_40648b57da4a,7515.96,0.3118,48,2025-07-23,declined
off_5a6ac79effc4,app_854169709fc9,brw_4ddf8211ad16,lnd_5201a46cec3a,17710.65,0.1005,60,2026-07-31,declined
off_f65d9950e5d0,app_854169709fc9,brw_4ddf8211ad16,lnd_68d1bb39a009,14550.99,0.2045,24,2026-08-01,declined
off_202c2918399b,app_854169709fc9,brw_4ddf8211ad16,lnd_2e2adcc3d662,14224.02,0.1954,36,2026-07-31,declined
off_0044ac8d265c,app_854169709fc9,brw_4ddf8211ad16,lnd_f0806e150f18,16357.97,0.1247,36,2026-07-30,declined
off_bdc29c73702b,app_854169709fc9,brw_4ddf8211ad16,lnd_40648b57da4a,13661.03,0.2871,60,2026-07-30,accepted
off_07648cfbb960,app_b050f1c1deaf,brw_779199b75246,lnd_68d1bb39a009,8838.88,0.1381,36,2026-06-25,declined
off_2d675421b889,app_b050f1c1deaf,brw_779199b75246,lnd_2e2adcc3d662,8850.27,0.1558,60,2026-06-25,declined
off_28e10b31d868,app_b050f1c1deaf,brw_779199b75246,lnd_f0806e150f18,9030.89,0.1557,36,2026-06-25,declined
off_621496ff3dd7,app_ba7abb9a1083,brw_c35af7b13f27,lnd_54a37531f7e5,24174.76,0.1121,36,2026-08-19,accepted
off_4b47f5a41350,app_ba7abb9a1083,brw_c35af7b13f27,lnd_2e2adcc3d662,23134.35,0.1698,48,2026-08-17,declined
off_5116836bd5b8,app_ba7abb9a1083,brw_c35af7b13f27,lnd_f0806e150f18,18548.07,0.1503,24,2026-08-17,declined
off_509886acd4ff,app_ba7abb9a1083,brw_c35af7b13f27,lnd_abf7ad1fc508,19479.55,0.339,60,2026-08-17,declined
off_8b84a8789534,app_7563a078944a,brw_c35af7b13f27,lnd_54a37531f7e5,8650.32,0.125,60,2026-08-30,declined
off_cbc57b1984e4,app_7563a078944a,brw_c35af7b13f27,lnd_5201a46cec3a,8715.87,0.1202,24,2026-08-27,declined
off_2fef620789df,app_7563a078944a,brw_c35af7b13f27,lnd_68d1bb39a009,8829.81,0.1665,36,2026-08-30,accepted
off_c11ae2a6b9df,app_7563a078944a,brw_c35af7b13f27,lnd_abf7ad1fc508,9665.52,0.3507,36,2026-08-27,declined
off_816520bd1f92,app_7563a078944a,brw_c35af7b13f27,lnd_40648b57da4a,9261.32,0.2718,60,2026-08-28,declined
off_b384e785505c,app_8a29cb7d0c83,brw_4105177c8aec,lnd_68d1bb39a009,16436.8,0.1775,36,2026-02-26,declined
off_5bc9b98cbab3,app_8a29cb7d0c83,brw_4105177c8aec,lnd_f0806e150f18,16645.03,0.1335,36,2026-02-27,accepted
off_8a42360189e6,app_8a29cb7d0c83,brw_4105177c8aec,lnd_abf7ad1fc508,17119.73,0.3197,36,2026-02-26,declined
off_f5a89a46d742,app_40c853862742,brw_4105177c8aec,lnd_68d1bb39a009,8724.16,0.1656,48,2026-07-29,declined
off_d0c35f651eb7,app_40c853862742,brw_4105177c8aec,lnd_f0806e150f18,8057.98,0.183,36,2026-07-27,declined
off_57586b4b60b6,app_40c853862742,brw_4105177c8aec,lnd_abf7ad1fc508,9308.67,0.2856,24,2026-07-27,declined
off_09f9d78d9a11,app_40c853862742,brw_4105177c8aec,lnd_40648b57da4a,8818.77,0.3555,36,2026-07-28,accepted
off_76372c1430ea,app_c53a21cd91e9,brw_96134911d72b,lnd_68d1bb39a009,24548.85,0.1613,24,2026-07-18,declined
off_f798405845ed,app_c53a21cd91e9,brw_96134911d72b,lnd_2e2adcc3d662,25022.33,0.16,12,2026-07-18,accepted
off_946b9f87527e,app_c53a21cd91e9,brw_96134911d72b,lnd_f0806e150f18,23335.08,0.1847,36,2026-07-19,declined
off_a113c6ad4aef,app_c53a21cd91e9,brw_96134911d72b,lnd_abf7ad1fc508,21962.3,0.2681,24,2026-07-18,declined
off_cb3ed14bc545,app_beea6a2679f3,brw_724b50bda1a3,lnd_ebd3fcc47db6,6663.91,0.0871,12,2025-08-02,accepted
off_1749a3f29f9a,app_beea6a2679f3,brw_724b50bda1a3,lnd_eb741dcfd1a0,6562.09,0.135,48,2025-07-31,declined
off_43b05ad997f5,app_beea6a2679f3,brw_724b50bda1a3,lnd_54a37531f7e5,6025.86,0.1349,36,2025-08-01,declined
off_d0f364f47c74,app_beea6a2679f3,brw_724b50bda1a3,lnd_5201a46cec3a,6030.68,0.1563,60,2025-08-01,declined
off_f9f4bd61bacd,app_beea6a2679f3,brw_724b50bda1a3,lnd_68d1bb39a009,6142.27,0.1355,60,2025-08-02,declined
off_88d010c81a46,app_beea6a2679f3,brw_724b50bda1a3,lnd_abf7ad1fc508,6590.33,0.2265,36,2025-08-02,declined
off_098008a730f4,app_beea6a2679f3,brw_724b50bda1a3,lnd_40648b57da4a,6993.82,0.25,36,2025-08-02,declined
off_31bda6a62d5f,app_70eaf41dbf50,brw_3e38fef38249,lnd_f0806e150f18,24635.87,0.1321,24,2025-11-20,accepted
off_301c73277375,app_70eaf41dbf50,brw_3e38fef38249,lnd_abf7ad1fc508,27028.72,0.3378,12,2025-11-17,declined
off_1c0b3c64f507,app_04d66781c47a,brw_1b57310b0669,lnd_eb741dcfd1a0,14270.92,0.142,36,2026-05-30,declined
off_9f7027bed213,app_04d66781c47a,brw_1b57310b0669,lnd_5201a46cec3a,16143.05,0.1032,60,2026-05-30,declined
off_1139f1f1a236,app_04d66781c47a,brw_1b57310b0669,lnd_68d1bb39a009,15109.6,0.1933,36,2026-05-30,declined
off_ac7f47e40a64,app_04d66781c47a,brw_1b57310b0669,lnd_2e2adcc3d662,15419.45,0.1743,36,2026-05-31,declined
off_31965febebe9,app_04d66781c47a,brw_1b57310b0669,lnd_f0806e150f18,13806.46,0.1995,36,2026-05-31,declined
off_3fed4728fae9,app_055f126aa016,brw_1b57310b0669,lnd_eb741dcfd1a0,7925.26,0.09,36,2026-07-02,accepted
off_c44af4e68a50,app_055f126aa016,brw_1b57310b0669,lnd_54a37531f7e5,7028.3,0.091,24,2026-07-04,declined
off_746ccd44fada,app_055f126aa016,brw_1b57310b0669,lnd_5201a46cec3a,7438.73,0.1408,48,2026-07-02,declined
off_4b885231f470,app_055f126aa016,brw_1b57310b0669,lnd_68d1bb39a009,8378.21,0.1878,36,2026-07-04,declined
off_b13998c5b782,app_055f126aa016,brw_1b57310b0669,lnd_2e2adcc3d662,6775.08,0.2048,36,2026-07-03,declined
off_bffc03449da7,app_055f126aa016,brw_1b57310b0669,lnd_abf7ad1fc508,7488.28,0.3366,12,2026-07-01,declined
off_c6e7b5bda100,app_c730adf45558,brw_777832b09d66,lnd_eb741dcfd1a0,8513.95,0.1267,48,2025-10-08,declined
off_6c501d3ecb01,app_c730adf45558,brw_777832b09d66,lnd_54a37531f7e5,9195.6,0.08,36,2025-10-08,accepted
off_5a055ae73ebb,app_c730adf45558,brw_777832b09d66,lnd_5201a46cec3a,8886.17,0.1142,60,2025-10-05,declined
off_38d0bb24f0ff,app_c730adf45558,brw_777832b09d66,lnd_68d1bb39a009,9545.59,0.2119,24,2025-10-08,declined
off_9e3e40413975,app_c730adf45558,brw_777832b09d66,lnd_2e2adcc3d662,8198.87,0.1958,24,2025-10-06,declined
off_67a4f9f93ac6,app_c730adf45558,brw_777832b09d66,lnd_f0806e150f18,7812.99,0.2063,36,2025-10-08,declined
off_94b61336c5e2,app_c730adf45558,brw_777832b09d66,lnd_abf7ad1fc508,8339.47,0.3351,12,2025-10-06,declined
off_356a2495ba9b,app_6605e8032363,brw_777832b09d66,lnd_eb741dcfd1a0,15822.67,0.1406,36,2026-03-07,declined
off_f836dbd09ae8,app_6605e8032363,brw_777832b09d66,lnd_54a37531f7e5,19737.05,0.1351,24,2026-03-06,accepted
off_f1b9eb86caf1,app_6605e8032363,brw_777832b09d66,lnd_68d1bb39a009,16730.81,0.2132,48,2026-03-09,declined
off_0b29f56921c9,app_6605e8032363,brw_777832b09d66,lnd_2e2adcc3d662,16288.62,0.2165,12,2026-03-06,declined
off_118aa2000887,app_6605e8032363,brw_777832b09d66,lnd_f0806e150f18,19050.01,0.1841,36,2026-03-07,declined
off_e8fafcb1d767,app_6605e8032363,brw_777832b09d66,lnd_abf7ad1fc508,18142.42,0.2988,48,2026-03-07,declined
off_49f36478a1f2,app_6605e8032363,brw_777832b09d66,lnd_40648b57da4a,17274.27,0.3174,48,2026-03-08,declined
off_ca3bfb2a63a9,app_4835318f1b9e,brw_7eebe2714875,lnd_ebd3fcc47db6,7588.01,0.0721,36,2026-09-14,declined
off_278f1cdc19b8,app_4835318f1b9e,brw_7eebe2714875,lnd_eb741dcfd1a0,6472.07,0.1464,36,2026-09-12,declined
off_7b9620dfa653,app_4835318f1b9e,brw_7eebe2714875,lnd_54a37531f7e5,5980.42,0.1167,48,2026-09-14,declined
off_23975795c1e5,app_4835318f1b9e,brw_7eebe2714875,lnd_68d1bb39a009,6516.09,0.2006,24,2026-09-12,declined
off_194adee44574,app_4835318f1b9e,brw_7eebe2714875,lnd_2e2adcc3d662,6018.38,0.1405,36,2026-09-13,declined
off_45d2789566a1,app_4835318f1b9e,brw_7eebe2714875,lnd_f0806e150f18,6010.52,0.1279,36,2026-09-13,declined
off_0a26643c1c9b,app_4835318f1b9e,brw_7eebe2714875,lnd_abf7ad1fc508,6012.45,0.2325,36,2026-09-14,declined
off_210647915b59,app_4835318f1b9e,brw_7eebe2714875,lnd_40648b57da4a,7396.53,0.201,36,2026-09-13,declined
off_cb22e602f294,app_9a41734cbd59,brw_144c8a1d554b,lnd_68d1bb39a009,19023.76,0.1453,24,2026-04-03,declined
off_955fdf03f9c6,app_9a41734cbd59,brw_144c8a1d554b,lnd_2e2adcc3d662,15978.01,0.1791,36,2026-04-03,declined
off_cb08ccaecbf4,app_9a41734cbd59,brw_144c8a1d554b,lnd_f0806e150f18,17436.42,0.205,48,2026-04-02,declined
off_33945c3a3bb0,app_9a41734cbd59,brw_144c8a1d554b,lnd_abf7ad1fc508,17910.07,0.2388,12,2026-04-03,declined
off_e78f0f64e0c1,app_9a41734cbd59,brw_144c8a1d554b,lnd_40648b57da4a,19605.25,0.2517,36,2026-04-05,declined
off_7ea40178203a,app_0e627176f746,brw_144c8a1d554b,lnd_68d1bb39a009,22986.95,0.146,36,2026-09-04,accepted
off_c6ff1b549d6a,app_0e627176f746,brw_144c8a1d554b,lnd_2e2adcc3d662,26040.75,0.2104,36,2026-09-06,declined
off_4858d562fde4,app_0e627176f746,brw_144c8a1d554b,lnd_f0806e150f18,22274.7,0.2039,24,2026-09-06,declined
off_af0cfa8cefda,app_0e627176f746,brw_144c8a1d554b,lnd_40648b57da4a,25948.53,0.2729,48,2026-09-03,declined
off_d8b19fe7bce9,app_6680e1a13e22,brw_17fc73551b94,lnd_68d1bb39a009,15040.33,0.1893,48,2026-09-06,accepted
off_a1f6717623da,app_6680e1a13e22,brw_17fc73551b94,lnd_f0806e150f18,16526.98,0.1681,60,2026-09-07,declined
off_c487ae043210,app_6680e1a13e22,brw_17fc73551b94,lnd_40648b57da4a,17437.94,0.2565,60,2026-09-04,declined
off_6a86d1d76d1d,app_0f9f9b534d5c,brw_17fc73551b94,lnd_68d1bb39a009,16111.14,0.1881,36,2025-09-17,declined
off_961b36768600,app_0f9f9b534d5c,brw_17fc73551b94,lnd_f0806e150f18,14153.44,0.1289,24,2025-09-20,accepted
off_907925b3df5a,app_0f9f9b534d5c,brw_17fc73551b94,lnd_40648b57da4a,15608.34,0.2616,48,2025-09-18,declined
off_41df612db9ce,app_3c8d0ccfbd26,brw_ba2ee3a5a60a,lnd_40648b57da4a,15505.54,0.2539,48,2026-05-13,accepted
off_872cb438fb92,app_6a6f22df9e40,brw_ba2ee3a5a60a,lnd_abf7ad1fc508,19790.82,0.236,48,2026-05-01,accepted
off_64ac3b264b9d,app_6a6f22df9e40,brw_ba2ee3a5a60a,lnd_40648b57da4a,20381.74,0.3175,36,2026-05-02,declined
off_2cbaf06b36d1,app_84a2d2ab8b3f,brw_ba2ee3a5a60a,lnd_abf7ad1fc508,11683.29,0.2801,12,2026-09-12,declined
off_201511515c45,app_84a2d2ab8b3f,brw_ba2ee3a5a60a,lnd_40648b57da4a,11102.54,0.2677,12,2026-09-12,accepted
off_4831c2740d47,app_4771b1f6c829,brw_4b1e9c94f363,lnd_68d1bb39a009,14301.81,0.1741,60,2026-08-11,accepted
off_68a325ad4994,app_4771b1f6c829,brw_4b1e9c94f363,lnd_2e2adcc3d662,14082.36,0.1928,36,2026-08-12,declined
off_21c2f7d92d53,app_4771b1f6c829,brw_4b1e9c94f363,lnd_abf7ad1fc508,15218.07,0.302,48,2026-08-11,declined
off_9d2388b97757,app_4771b1f6c829,brw_4b1e9c94f363,lnd_40648b57da4a,12951.98,0.2283,48,2026-08-10,declined
off_17b3368a0c59,app_3b10f712bfbf,brw_f74c18a29085,lnd_68d1bb39a009,22590.54,0.1741,24,2026-02-07,accepted
off_0bbb1ed8c9e8,app_3b10f712bfbf,brw_f74c18a29085,lnd_2e2adcc3d662,22978.57,0.2179,60,2026-02-09,declined
off_b376516f29e1,app_3b10f712bfbf,brw_f74c18a29085,lnd_f0806e150f18,24156.59,0.2067,36,2026-02-07,declined
off_237ffb0520d3,app_3b10f712bfbf,brw_f74c18a29085,lnd_abf7ad1fc508,21752.58,0.3367,36,2026-02-09,declined
off_b334819c05aa,app_3b10f712bfbf,brw_f74c18a29085,lnd_40648b57da4a,24040.27,0.2343,12,2026-02-06,declined
off_8f4b095b9aae,app_644fb076b42a,brw_04e14a62fb52,lnd_68d1bb39a009,12695.68,0.1789,60,2026-07-07,declined
off_f34240322d11,app_644fb076b42a,brw_04e14a62fb52,lnd_2e2adcc3d662,14497.28,0.1797,24,2026-07-07,declined
off_3da1547ef8d7,app_644fb076b42a,brw_04e14a62fb52,lnd_f0806e150f18,12804.85,0.2099,36,2026-07-08,accepted
off_f6620f2362a5,app_644fb076b42a,brw_04e14a62fb52,lnd_abf7ad1fc508,13322.36,0.3582,48,2026-07-07,declined
off_b91d157493c6,app_644fb076b42a,brw_04e14a62fb52,lnd_40648b57da4a,14867.19,0.2966,36,2026-07-09,declined
off_2ba70d62b6d9,app_bba62763dd42,brw_0e6006f84292,lnd_ebd3fcc47db6,14033.66,0.0707,36,2026-07-25,declined
off_19e9842300ee,app_bba62763dd42,brw_0e6006f84292,lnd_eb741dcfd1a0,11201.37,0.1348,36,2026-07-23,declined
off_a5dd4c2e5e87,app_bba62763dd42,brw_0e6006f84292,lnd_54a37531f7e5,13657.71,0.0867,60,2026-07-25,declined
off_794ce71a47c7,app_bba62763dd42,brw_0e6006f84292,lnd_5201a46cec3a,13528.2,0.1483,48,2026-07-25,declined
off_132ece923a08,app_bba62763dd42,brw_0e6006f84292,lnd_68d1bb39a009,12854.32,0.1638,12,2026-07-25,declined
off_d6a8af1dc196,app_bba62763dd42,brw_0e6006f84292,lnd_abf7ad1fc508,13078.95,0.3419,36,2026-07-25,declined
off_37712c68e964,app_bba62763dd42,brw_0e6006f84292,lnd_40648b57da4a,13663.95,0.3345,12,2026-07-23,declined
off_b20a588dfc4b,app_5e39fbc80068,brw_0e6006f84292,lnd_ebd3fcc47db6,13888.56,0.0762,24,2026-08-29,declined
off_b4987020721d,app_5e39fbc80068,brw_0e6006f84292,lnd_035d3bde8267,14375.88,0.091,36,2026-08-28,declined
off_776c84fe10c1,app_5e39fbc80068,brw_0e6006f84292,lnd_eb741dcfd1a0,16636.84,0.1355,12,2026-08-28,declined
off_8c96dd6f6243,app_5e39fbc80068,brw_0e6006f84292,lnd_54a37531f7e5,13069.55,0.1357,24,2026-08-29,declined
off_142e8f328d8f,app_5e39fbc80068,brw_0e6006f84292,lnd_5201a46cec3a,13825.52,0.1432,24,2026-08-29,declined
off_a27280012a15,app_5e39fbc80068,brw_0e6006f84292,lnd_68d1bb39a009,16556.66,0.2089,12,2026-08-27,declined
off_bdb911ca2d1b,app_5e39fbc80068,brw_0e6006f84292,lnd_2e2adcc3d662,14514.4,0.2213,24,2026-08-26,declined
off_d625caeb3537,app_5e39fbc80068,brw_0e6006f84292,lnd_f0806e150f18,15953.49,0.188,36,2026-08-28,declined
off_480f1bcfa7d0,app_5e39fbc80068,brw_0e6006f84292,lnd_abf7ad1fc508,13007.81,0.2863,24,2026-08-26,declined
off_96c87da4fe6c,app_5e39fbc80068,brw_0e6006f84292,lnd_40648b57da4a,13041.13,0.3103,48,2026-08-29,declined
off_5f3a8722880a,app_355b6455148c,brw_29b6e3cf672b,lnd_eb741dcfd1a0,3472.71,0.1114,24,2026-06-12,accepted
off_059d38698943,app_355b6455148c,brw_29b6e3cf672b,lnd_54a37531f7e5,4038.71,0.1203,12,2026-06-13,declined
off_0c230bfd1744,app_355b6455148c,brw_29b6e3cf672b,lnd_5201a46cec3a,3826.89,0.1456,36,2026-06-13,declined
off_3917772bc5f9,app_355b6455148c,brw_29b6e3cf672b,lnd_68d1bb39a009,4011.9,0.1698,24,2026-06-15,declined
off_ba874b859a37,app_355b6455148c,brw_29b6e3cf672b,lnd_f0806e150f18,3984.04,0.1546,60,2026-06-12,declined
off_2ad4e9cae3cb,app_355b6455148c,brw_29b6e3cf672b,lnd_abf7ad1fc508,3624.71,0.3096,24,2026-06-13,declined
off_b892e6ac6713,app_355b6455148c,brw_29b6e3cf672b,lnd_40648b57da4a,4183.15,0.3095,48,2026-06-14,declined
off_35329c2c0893,app_deacb0f3e852,brw_cedd44c03fdb,lnd_54a37531f7e5,26502.5,0.1095,36,2026-08-12,accepted
off_56bcfc2f7ff8,app_deacb0f3e852,brw_cedd44c03fdb,lnd_5201a46cec3a,33495.75,0.1604,24,2026-08-09,declined
off_96facbfe6110,app_deacb0f3e852,brw_cedd44c03fdb,lnd_2e2adcc3d662,29971.47,0.1555,36,2026-08-11,declined
off_ff24c6f95f32,app_deacb0f3e852,brw_cedd44c03fdb,lnd_abf7ad1fc508,25710.88,0.25,60,2026-08-09,declined
off_50e3d594b91f,app_eee796c814ed,brw_cedd44c03fdb,lnd_eb741dcfd1a0,5259.52,0.1079,36,2026-08-19,declined
off_4272705cfc76,app_eee796c814ed,brw_cedd44c03fdb,lnd_54a37531f7e5,5651.13,0.1028,36,2026-08-19,declined
off_5c4e2e3ce79a,app_eee796c814ed,brw_cedd44c03fdb,lnd_68d1bb39a009,5308.98,0.1694,60,2026-08-18,declined
off_250196922399,app_eee796c814ed,brw_cedd44c03fdb,lnd_2e2adcc3d662,4970.26,0.1791,36,2026-08-19,declined
off_07aa2b79391f,app_eee796c814ed,brw_cedd44c03fdb,lnd_f0806e150f18,5847.28,0.1792,24,2026-08-20,declined
off_956f995cb962,app_eee796c814ed,brw_cedd44c03fdb,lnd_abf7ad1fc508,5900.85,0.2428,60,2026-08-19,declined
off_7e2da860f885,app_eee796c814ed,brw_cedd44c03fdb,lnd_40648b57da4a,5092.39,0.2193,48,2026-08-20,accepted
off_c1385567e012,app_0a06a2399cbe,brw_921c7e3dcc39,lnd_54a37531f7e5,6390.79,0.1102,12,2026-09-07,declined
off_53c6171553f2,app_0a06a2399cbe,brw_921c7e3dcc39,lnd_68d1bb39a009,5974.03,0.1393,36,2026-09-08,declined
off_bee477432c7c,app_0a06a2399cbe,brw_921c7e3dcc39,lnd_f0806e150f18,5609.07,0.1977,24,2026-09-07,declined
off_5bb66525864b,app_0a06a2399cbe,brw_921c7e3dcc39,lnd_abf7ad1fc508,7124.04,0.2449,60,2026-09-10,declined
off_0a7a6a8810df,app_0a06a2399cbe,brw_921c7e3dcc39,lnd_40648b57da4a,5921.12,0.2387,60,2026-09-10,accepted
off_d97423560db9,app_5bbb4ee41022,brw_549870f29680,lnd_5201a46cec3a,29611.02,0.1491,36,2025-12-15,declined
off_90bc451b6cca,app_5bbb4ee41022,brw_549870f29680,lnd_68d1bb39a009,23362.15,0.1481,36,2025-12-15,declined
off_a39b08064d43,app_5bbb4ee41022,brw_549870f29680,lnd_2e2adcc3d662,26682.67,0.1933,36,2025-12-13,declined
off_bdd25b263dac,app_5bbb4ee41022,brw_549870f29680,lnd_abf7ad1fc508,24400.62,0.3496,12,2025-12-13,declined
off_2be4c3511d5b,app_5bbb4ee41022,brw_549870f29680,lnd_40648b57da4a,30229.73,0.1992,48,2025-12-12,declined
off_14f8982d42ce,app_f64635261b5a,brw_af3b4b559613,lnd_eb741dcfd1a0,35981.51,0.0977,24,2026-04-24,accepted
off_b7bbc5b00747,app_f64635261b5a,brw_af3b4b559613,lnd_54a37531f7e5,35332.42,0.1107,48,2026-04-25,declined
off_b7f5fbfa5ad6,app_f64635261b5a,brw_af3b4b559613,lnd_5201a46cec3a,32602.97,0.1304,36,2026-04-24,declined
off_4133ac746e8b,app_f64635261b5a,brw_af3b4b559613,lnd_68d1bb39a009,31345.79,0.2168,24,2026-04-24,declined
off_8a4a093dd2d2,app_f64635261b5a,brw_af3b4b559613,lnd_2e2adcc3d662,35580.38,0.1754,48,2026-04-26,declined
off_92111ffc1e8d,app_f64635261b5a,brw_af3b4b559613,lnd_f0806e150f18,29939.95,0.1267,24,2026-04-27,declined
off_b8b78bd34bd1,app_f64635261b5a,brw_af3b4b559613,lnd_40648b57da4a,28505.9,0.2709,36,2026-04-25,declined
off_de4562c2f90b,app_e5669e96c251,brw_af3b4b559613,lnd_eb741dcfd1a0,12974.84,0.1076,48,2026-07-23,declined
off_0d124bd73ac9,app_e5669e96c251,brw_af3b4b559613,lnd_54a37531f7e5,13066.55,0.099,12,2026-07-23,declined
