loan_id,offer_id,borrower_id,lender_id,funded_amount,apr,term_months,funded_date,origination_fee_pct,origination_fee_amount
loan_68e350f0b651,off_872cb438fb92,brw_ba2ee3a5a60a,lnd_abf7ad1fc508,19790.82,0.236,48,2026-05-07,0.045,890.59
loan_6889ed561f97,off_201511515c45,brw_ba2ee3a5a60a,lnd_40648b57da4a,11102.54,0.2677,12,2026-09-13,0.04,444.1
loan_50da85e64086,off_4831c2740d47,brw_4b1e9c94f363,lnd_68d1bb39a009,14301.81,0.1741,60,2026-08-13,0.03,429.05
loan_837f5e1083dc,off_17b3368a0c59,brw_f74c18a29085,lnd_68d1bb39a009,22590.54,0.1741,24,2026-02-14,0.03,677.72
loan_4287194adde8,off_3da1547ef8d7,brw_04e14a62fb52,lnd_f0806e150f18,12804.85,0.2099,36,2026-07-11,0.032,409.76
loan_dd3dbb6c9003,off_5f3a8722880a,brw_29b6e3cf672b,lnd_eb741dcfd1a0,3472.71,0.1114,24,2026-06-15,0.022,76.4
loan_61e4fe74a647,off_35329c2c0893,brw_cedd44c03fdb,lnd_54a37531f7e5,26502.5,0.1095,36,2026-08-18,0.015,397.54
loan_252976f8a5be,off_7e2da860f885,brw_cedd44c03fdb,lnd_40648b57da4a,5092.39,0.2193,48,2026-08-20,0.04,203.7
loan_e88452cbf889,off_0a7a6a8810df,brw_921c7e3dcc39,lnd_40648b57da4a,5921.12,0.2387,60,2026-09-15,0.04,236.84
loan_72f4f7dcaa42,off_14f8982d42ce,brw_af3b4b559613,lnd_eb741dcfd1a0,35981.51,0.0977,24,2026-04-27,0.022,791.59
loan_603ac87387dd,off_626e7fef9882,brw_af3b4b559613,lnd_f0806e150f18,12962.86,0.1326,12,2026-07-27,0.032,414.81
loan_ec8fde4b386d,off_b2c594cf6afe,brw_408c5e34b2c1,lnd_40648b57da4a,10682.83,0.3024,48,2026-06-06,0.04,427.31
loan_c13516ae2cd7,off_dbd5fb350006,brw_408c5e34b2c1,lnd_abf7ad1fc508,18931.93,0.2749,12,2026-06-17,0.045,851.94
loan_03010a3acab2,off_2394d4370b21,brw_c86e9eef5839,lnd_f0806e150f18,20043.31,0.1856,60,2026-02-23,0.032,641.39
loan_60d20b681519,off_738ce94fcb42,brw_c86e9eef5839,lnd_68d1bb39a009,23036.6,0.2097,12,2026-04-25,0.03,691.1
loan_84198bd69189,off_62ff249ccc6d,brw_e5ffc929693e,lnd_2e2adcc3d662,6239.79,0.1494,36,2026-04-25,0.028,174.71
loan_739b41cb8739,off_cfb279b9d007,brw_851435f27135,lnd_2e2adcc3d662,18229.41,0.1773,48,2026-02-10,0.028,510.42
loan_ed90de908374,off_c5cd20609104,brw_4c1e29ba042b,lnd_f0806e150f18,28596.18,0.1335,36,2026-07-28,0.032,915.08
loan_a142246d66ea,off_390df2c9598f,brw_4c1e29ba042b,lnd_5201a46cec3a,2458.4,0.1262,60,2026-08-08,0.025,61.46
loan_be3af428699f,off_7b70a0a6eb60,brw_c2c3194e6788,lnd_5201a46cec3a,27789.37,0.1447,24,2026-09-05,0.025,694.73
loan_17ed5d85f1a6,off_a28655867eae,brw_c2c3194e6788,lnd_eb741dcfd1a0,19994.44,0.1416,24,2026-07-14,0.022,439.88
loan_27b250fee806,off_8c7ca52e13b3,brw_2460e90f0d79,lnd_abf7ad1fc508,23478.77,0.3087,36,2026-08-19,0.045,1056.54
loan_0ebcbf2f672a,off_121888fa5044,brw_2460e90f0d79,lnd_abf7ad1fc508,19680.78,0.256,48,2026-09-19,0.045,885.64
loan_54331fe30d56,off_5c6aa7b51c10,brw_74314b156379,lnd_eb741dcfd1a0,24400.22,0.1247,36,2025-09-15,0.022,536.8
loan_94c2f1fde2c8,off_79c9c6b58566,brw_c07f849a73b6,lnd_54a37531f7e5,31620.41,0.087,48,2026-02-10,0.015,474.31
loan_d4242c699dca,off_09885a901513,brw_cce9f093402c,lnd_54a37531f7e5,18459.36,0.0814,36,2025-11-09,0.015,276.89
loan_b806b31c80db,off_9f310be60446,brw_31241439df73,lnd_eb741dcfd1a0,9115.08,0.1303,36,2026-05-31,0.022,200.53
loan_f70bd9baf005,off_d63bee071a7d,brw_250319701196,lnd_f0806e150f18,7527.03,0.1341,48,2026-03-06,0.032,240.86
loan_0ed6ba5b21e4,off_21deb46f341a,brw_81bac5032c10,lnd_abf7ad1fc508,11731.15,0.231,36,2026-05-09,0.045,527.9
loan_faf184e7137f,off_3e93b702e397,brw_e1cc84e0717c,lnd_5201a46cec3a,2943.64,0.1204,36,2026-03-30,0.025,73.59
loan_604a254ec088,off_aa0b71d7519b,brw_769c6556eaa3,lnd_abf7ad1fc508,3164.95,0.3286,60,2025-02-20,0.045,142.42
loan_8fb150d3078d,off_737b76f5814f,brw_769c6556eaa3,lnd_2e2adcc3d662,19186.65,0.1808,24,2025-12-30,0.028,537.23
loan_835db55f1bf2,off_be6389f35f5a,brw_2b87f526da17,lnd_eb741dcfd1a0,28989.53,0.0905,24,2026-09-03,0.022,637.77
loan_e2f6ac2f8e37,off_d90ed0f0f739,brw_e53da88fd8b1,lnd_f0806e150f18,8429.61,0.1498,24,2026-04-07,0.032,269.75
loan_8c8ec6b905cc,off_065ea5c5e1ee,brw_ef10c76a3abf,lnd_5201a46cec3a,20945.97,0.1312,48,2026-09-11,0.025,523.65
loan_57393e6297fc,off_b30b3ea10421,brw_bd2b2213296f,lnd_40648b57da4a,23125.45,0.3087,36,2025-04-14,0.04,925.02
loan_da848e866442,off_1fbb81f98abb,brw_bd2b2213296f,lnd_40648b57da4a,2530.84,0.3505,36,2025-12-19,0.04,101.23
loan_b0575eef9374,off_9adfce1a67d2,brw_0b8a1c46909c,lnd_abf7ad1fc508,7670.01,0.3117,48,2026-09-19,0.045,345.15
loan_14585626de7d,off_d4a0920e6afb,brw_0b8a1c46909c,lnd_f0806e150f18,29478.42,0.1401,48,2026-09-16,0.032,943.31
loan_34edda58ce90,off_538702356511,brw_fd79a1822665,lnd_abf7ad1fc508,3146.78,0.3476,60,2026-01-02,0.045,141.61
loan_a9496eed51d6,off_1b23ba7728ea,brw_fd79a1822665,lnd_68d1bb39a009,15346.08,0.1639,60,2026-05-04,0.03,460.38
loan_f26728bcb8da,off_dccceedcea19,brw_cb9e72347365,lnd_68d1bb39a009,16695.32,0.1339,36,2026-09-15,0.03,500.86
loan_910160bf9899,off_325318c08c23,brw_d77a16be0e9f,lnd_abf7ad1fc508,23103.1,0.3051,60,2026-03-24,0.045,1039.64
loan_610a755f4dc6,off_f9e2056a0b25,brw_cec721950113,lnd_f0806e150f18,24017.16,0.174,12,2026-03-16,0.032,768.55
loan_d76fe3bed1a2,off_1ab6e2535fd1,brw_cec721950113,lnd_5201a46cec3a,13744.51,0.1143,36,2026-06-29,0.025,343.61
loan_7d3fdcdb9a75,off_e70b58c69d91,brw_e7d478ba99dc,lnd_5201a46cec3a,19602.36,0.164,60,2026-03-25,0.025,490.06
loan_545342e19917,off_237332d0f1f0,brw_9b8583b56653,lnd_abf7ad1fc508,16192.33,0.2789,36,2026-01-17,0.045,728.65
loan_9e300c5c6582,off_e923f3deff3b,brw_8425012678cd,lnd_5201a46cec3a,8121.65,0.1184,36,2026-05-13,0.025,203.04
loan_7a26e6246c4a,off_32cf11b01b26,brw_6c7918b42c97,lnd_abf7ad1fc508,8818.07,0.2456,12,2026-07-23,0.045,396.81
loan_6e5635579b1e,off_ae479d1def75,brw_6c7918b42c97,lnd_f0806e150f18,7722.38,0.1276,60,2025-12-17,0.032,247.12
loan_213e8adb81da,off_835deb10fa00,brw_932b8fe1500e,lnd_f0806e150f18,17210.69,0.1461,36,2026-09-17,0.032,550.74
loan_94a27ebdfcad,off_922ce58a7793,brw_5d7c8a2fc827,lnd_abf7ad1fc508,6073.17,0.2845,48,2026-08-28,0.045,273.29
loan_b4676d0181c9,off_84a67bea73fc,brw_cfb69674c5d3,lnd_2e2adcc3d662,29505.95,0.2295,24,2026-07-27,0.028,826.17
loan_8deb3988dfbe,off_72157c8179e7,brw_cfb69674c5d3,lnd_2e2adcc3d662,22028.95,0.1551,24,2026-08-22,0.028,616.81
loan_df6bd76efd7e,off_9035f2832c31,brw_fdf3db3581e4,lnd_ebd3fcc47db6,21780.55,0.0765,24,2026-06-30,0.02,435.61
loan_914dc1b422ae,off_a88f91ec4c59,brw_503ee5d1c3a5,lnd_40648b57da4a,8797.28,0.2198,60,2026-05-07,0.04,351.89
loan_bda62605dbc1,off_3c92a903b41c,brw_6ab5015391c5,lnd_68d1bb39a009,2399.47,0.1932,36,2026-09-06,0.03,71.98
loan_cd38cb0bc47c,off_ae57abec93b5,brw_6fffb8257ff3,lnd_40648b57da4a,5364.81,0.3288,12,2026-06-10,0.04,214.59
loan_cf3ebb99c1d4,off_ab2054a160c5,brw_0f206dca4d47,lnd_f0806e150f18,27595.31,0.1335,36,2026-05-12,0.032,883.05
loan_b6e8624bd3e1,off_6b2791f70b8a,brw_2b0b85df191f,lnd_abf7ad1fc508,14135.27,0.2565,36,2026-08-23,0.045,636.09
loan_5fa8fdead6c1,off_47d3f90e3c81,brw_1ebffc383a13,lnd_2e2adcc3d662,2548.42,0.1858,48,2026-07-15,0.028,71.36
loan_a1014a72ea1b,off_ca19b6d4356e,brw_f1bda367b8e2,lnd_abf7ad1fc508,36975.99,0.2776,36,2025-09-25,0.045,1663.92
loan_f64a6687da6d,off_aae6916b3a8b,brw_3f91708bb7e8,lnd_40648b57da4a,14322.42,0.2713,48,2026-08-22,0.04,572.9
loan_c62e80db4120,off_73dda2312017,brw_aff54c8bfa61,lnd_abf7ad1fc508,20756.04,0.2209,60,2026-09-19,0.045,934.02
loan_c091051f894c,off_0e6438dfd583,brw_746bf50dc2b6,lnd_f0806e150f18,17286.94,0.1524,12,2026-05-07,0.032,553.18
loan_c754f3a5d6d8,off_d88cc6014f15,brw_9fe0e72e20eb,lnd_eb741dcfd1a0,16594.58,0.0957,48,2026-07-06,0.022,365.08
loan_bae0a6f8f178,off_598b18b4cbf6,brw_e5bef617885b,lnd_40648b57da4a,14109.22,0.2129,60,2026-07-31,0.04,564.37
loan_ad5eefee8f25,off_bccbd1dfa8e5,brw_55c5e1856df2,lnd_40648b57da4a,13752.79,0.3468,48,2026-07-07,0.04,550.11
loan_2e1cbe7a42b3,off_92483b861b8a,brw_ebf8b4cd0f67,lnd_ebd3fcc47db6,20068.94,0.0605,36,2025-08-03,0.02,401.38
loan_b94e436d626a,off_b266ea4be6f6,brw_ebf8b4cd0f67,lnd_ebd3fcc47db6,13245.18,0.086,24,2026-04-25,0.02,264.9
loan_29c57ed60b98,off_3d245cc6efa9,brw_532c33fb5ae8,lnd_f0806e150f18,3384.8,0.1679,36,2026-07-24,0.032,108.31
loan_78d1818ea8f2,off_49111e43b388,brw_14043a6a63bc,lnd_68d1bb39a009,17755.62,0.1503,36,2026-05-29,0.03,532.67
loan_172364bdc3a1,off_73956ba150d5,brw_14043a6a63bc,lnd_f0806e150f18,8317.01,0.2065,48,2026-09-19,0.032,266.14
loan_e25a0145320d,off_b99ee7b18e8d,brw_ccfd5486584f,lnd_68d1bb39a009,15078.98,0.1414,12,2026-07-29,0.03,452.37
loan_bf66a8e1f5e2,off_538e704b5f03,brw_f585e2153caa,lnd_f0806e150f18,11079.94,0.1471,48,2025-09-11,0.032,354.56
loan_c7ff4ca77104,off_1913051b2e35,brw_3e87a5621543,lnd_2e2adcc3d662,13457.54,0.201,60,2026-09-13,0.028,376.81
loan_e18d1f304791,off_80e127e71768,brw_3e87a5621543,lnd_eb741dcfd1a0,23695.95,0.1314,24,2026-08-01,0.022,521.31
loan_dae57c958295,off_2c106097ac3e,brw_3e87a5621543,lnd_54a37531f7e5,23909.43,0.1036,48,2026-09-12,0.015,358.64
loan_ca47b5b052fc,off_66d77af042fc,brw_ad7bdcdf39c8,lnd_54a37531f7e5,17535.23,0.0908,48,2026-08-15,0.015,263.03
loan_a76e2fe41d0d,off_fd103c2dd968,brw_953e880430f9,lnd_f0806e150f18,13187.23,0.1769,36,2026-03-16,0.032,421.99
loan_dd6009f13b97,off_ef35b755b410,brw_5f4f85b2ddab,lnd_035d3bde8267,12511.61,0.069,48,2025-07-22,0.018,225.21
loan_9bc910b9ded7,off_39aab64a772a,brw_879f3593a9d8,lnd_54a37531f7e5,24440.8,0.0926,60,2026-07-17,0.015,366.61
loan_3f03823d9fb8,off_2f689cd422fb,brw_9cedcf270deb,lnd_68d1bb39a009,1333.1,0.16,12,2026-05-09,0.03,39.99
loan_e162fe8b34e4,off_639c6daea1d2,brw_4db7a547f887,lnd_40648b57da4a,9295.32,0.2833,24,2026-07-18,0.04,371.81
loan_50f36d40fbd3,off_2fcb39b47c96,brw_4db7a547f887,lnd_68d1bb39a009,26788.64,0.1652,24,2026-08-17,0.03,803.66
loan_cfda608726ca,off_8cb6ba28b807,brw_4db7a547f887,lnd_5201a46cec3a,12076.92,0.1042,48,2026-09-16,0.025,301.92
loan_e496bf0e3271,off_f78bb3bfa0df,brw_42881d861914,lnd_eb741dcfd1a0,5603.86,0.1423,12,2026-06-11,0.022,123.28
loan_67c480e89168,off_c24f6b0169dc,brw_6bf05e224f9f,lnd_40648b57da4a,21568.56,0.2236,36,2026-09-02,0.04,862.74
loan_ebe311c940db,off_b26e9e2cfaef,brw_9b4edeefa0d6,lnd_abf7ad1fc508,6365.21,0.3263,36,2026-05-15,0.045,286.43
loan_2e46c8b8ebca,off_cce374ac3ffe,brw_9b4edeefa0d6,lnd_40648b57da4a,3857.06,0.2728,48,2026-07-22,0.04,154.28
loan_724d93996dfa,off_a78b221c5880,brw_ea521312ce22,lnd_eb741dcfd1a0,11933.07,0.1316,36,2026-07-09,0.022,262.53
loan_a7c8019f4f8e,off_2b266d2f7e41,brw_e86107bd6137,lnd_68d1bb39a009,28613.32,0.1577,24,2025-08-19,0.03,858.4
loan_9a53c92478dc,off_30cbda345367,brw_99048d4e3937,lnd_5201a46cec3a,12243.56,0.162,24,2026-06-28,0.025,306.09
loan_44e167491d52,off_27a4d0c0f4f5,brw_333d98fd235e,lnd_eb741dcfd1a0,31387.29,0.1379,60,2026-05-25,0.022,690.52
loan_c7ffe5a99138,off_9341d0092042,brw_3901623df2e8,lnd_40648b57da4a,2716.25,0.2775,36,2026-05-08,0.04,108.65
loan_55f7445c6b3e,off_54e68a4edac0,brw_b16b8d6f19bd,lnd_2e2adcc3d662,17225.43,0.1623,36,2026-08-07,0.028,482.31
loan_5d6077a19820,off_8fb4dfbd43d6,brw_51c29d362983,lnd_eb741dcfd1a0,12317.12,0.1302,36,2026-05-31,0.022,270.98
loan_2ebfab1e7f5e,off_5f8f6b0d4634,brw_51c29d362983,lnd_eb741dcfd1a0,9946.67,0.1273,36,2026-06-07,0.022,218.83
loan_ac994a42f34b,off_bafd2a98896a,brw_45322a8a1590,lnd_40648b57da4a,8680.97,0.318,60,2025-05-20,0.04,347.24
loan_cfe3a3dfc2f4,off_bf2d2b7b7b69,brw_9bf1c3c2d414,lnd_68d1bb39a009,12752.33,0.1402,36,2026-08-17,0.03,382.57
loan_91e8f264461b,off_0496c3aee33f,brw_342752d88919,lnd_eb741dcfd1a0,12243.76,0.1309,48,2026-09-19,0.022,269.36
loan_b04e88ed26b4,off_cfc86ea1ec29,brw_593abe1ecf8f,lnd_2e2adcc3d662,27438.09,0.1447,60,2025-08-26,0.028,768.27
loan_3e3a7a7a027b,off_77698cc3af77,brw_ee1e300b4ee6,lnd_2e2adcc3d662,17377.68,0.2281,36,2026-05-21,0.028,486.58
loan_28c7d37ed779,off_206afbf296ec,brw_49fd085330d0,lnd_68d1bb39a009,16531.6,0.1332,24,2026-09-14,0.03,495.95
loan_173538b1fb7c,off_5e4f9247ffaf,brw_bb5f0b0a9f60,lnd_40648b57da4a,8724.25,0.3079,36,2026-02-03,0.04,348.97
loan_11fdc080d9da,off_bec2ed989102,brw_b1998ffb1e6c,lnd_2e2adcc3d662,17873.93,0.2121,48,2026-08-11,0.028,500.47
loan_6f3620a81a7b,off_6b259538d853,brw_8f3f9632f516,lnd_68d1bb39a009,16059.2,0.1683,12,2026-07-14,0.03,481.78
loan_a8c6c34911b5,off_7060a03974ed,brw_5e881e06e299,lnd_68d1bb39a009,7017.39,0.137,60,2026-09-19,0.03,210.52
loan_a980bd1075c4,off_9f5289b9ac9e,brw_87417390f5f5,lnd_abf7ad1fc508,16168.23,0.3395,36,2026-09-19,0.045,727.57
loan_a647eba46dd8,off_5ca4d49a4ad2,brw_428b7dca3c82,lnd_2e2adcc3d662,19837.08,0.1478,36,2026-06-15,0.028,555.44
loan_585187fd4801,off_9f384ced03d1,brw_428b7dca3c82,lnd_68d1bb39a009,5736.46,0.1502,24,2026-08-24,0.03,172.09
loan_a3e54864a60c,off_c0a8475ab30d,brw_945e8e6958bf,lnd_40648b57da4a,24810.7,0.2241,24,2026-06-28,0.04,992.43
loan_a10423636223,off_70d22c295efe,brw_945e8e6958bf,lnd_f0806e150f18,9960.04,0.1777,60,2026-07-21,0.032,318.72
loan_072ef91a80f3,off_5559799d0deb,brw_8591ee8ee6f3,lnd_abf7ad1fc508,11483.33,0.2485,36,2026-04-06,0.045,516.75
loan_66477261a764,off_e0c7ff532725,brw_ec7b26361e4b,lnd_2e2adcc3d662,19651.44,0.2081,24,2026-07-16,0.028,550.24
loan_cfc82c1872ba,off_28d79379af8b,brw_ec7b26361e4b,lnd_40648b57da4a,25206.1,0.2386,36,2026-08-09,0.04,1008.24
loan_6c6ed0a264ac,off_5c4d77ec0032,brw_12ae95140d5a,lnd_eb741dcfd1a0,30496.34,0.0969,24,2026-06-14,0.022,670.92
loan_fbb1f4002d04,off_ba323db43f4b,brw_21eeaf14f810,lnd_eb741dcfd1a0,13036.88,0.1373,24,2026-01-20,0.022,286.81
loan_5460af1b537d,off_941815fa2172,brw_49e56b2de967,lnd_68d1bb39a009,17174.62,0.1411,36,2026-05-21,0.03,515.24
loan_494cd0045b2d,off_de9b5152357d,brw_49e56b2de967,lnd_68d1bb39a009,9717.79,0.1788,24,2026-04-30,0.03,291.53
loan_45d4eaf0bddc,off_d05d1ac85a93,brw_6aecca1c44e8,lnd_54a37531f7e5,14697.35,0.0801,36,2026-09-12,0.015,220.46
loan_d12347a895f0,off_eb2347645b30,brw_839e82a3f2ca,lnd_abf7ad1fc508,12659.57,0.2496,48,2026-02-26,0.045,569.68
loan_b049ac89e39b,off_aa736d2c9c5a,brw_839e82a3f2ca,lnd_abf7ad1fc508,18058.44,0.3514,36,2026-05-16,0.045,812.63
loan_6e0dbd024e64,off_14b9b947eadb,brw_839e82a3f2ca,lnd_abf7ad1fc508,32473.39,0.2203,36,2025-10-09,0.045,1461.3
loan_f93effea61e1,off_8ca88001a5e2,brw_0c34441378d6,lnd_68d1bb39a009,26017.62,0.1633,24,2026-09-03,0.03,780.53
loan_7e017664aa4b,off_aa4d40ff6219,brw_0c34441378d6,lnd_40648b57da4a,12078.85,0.2673,48,2026-08-09,0.04,483.15
loan_dbc3ef75cec9,off_bc6fb19480e0,brw_066e6413f2a4,lnd_40648b57da4a,23705.66,0.2496,36,2026-08-27,0.04,948.23
loan_6aee378b8ab8,off_3d935ed9e493,brw_96a2c32fd773,lnd_abf7ad1fc508,7687.62,0.2658,12,2025-09-16,0.045,345.94
loan_0709001c4676,off_0797954e95fa,brw_96a2c32fd773,lnd_abf7ad1fc508,12216.5,0.2922,24,2025-09-22,0.045,549.74
loan_26baf9187cfd,off_288ec411d2ac,brw_96a2c32fd773,lnd_40648b57da4a,24845.12,0.3074,36,2025-12-02,0.04,993.8
loan_ab7546366f43,off_55899fcedfea,brw_a9c13a6529b9,lnd_eb741dcfd1a0,20995.5,0.1173,36,2026-07-14,0.022,461.9
loan_55df64f27ecd,off_19e73929f3b4,brw_0158cfec4e2c,lnd_2e2adcc3d662,11212.8,0.1856,48,2025-12-13,0.028,313.96
loan_c688e410425c,off_e54a78f6bc9d,brw_25735c2fb382,lnd_eb741dcfd1a0,26693.96,0.1121,36,2025-08-26,0.022,587.27
loan_911865645291,off_a5a686915427,brw_25735c2fb382,lnd_eb741dcfd1a0,4993.37,0.1173,36,2026-08-30,0.022,109.85
loan_168c66c71c3e,off_27822378b247,brw_7b59c8f4b19f,lnd_abf7ad1fc508,6572.55,0.3488,12,2026-05-05,0.045,295.76
loan_f5a9fdbcd456,off_4fbb55c2ec6c,brw_0427cb9d010b,lnd_f0806e150f18,20296.53,0.1405,48,2026-09-19,0.032,649.49
loan_67cfec05c4de,off_3a2ea1830ffa,brw_31a17bb36885,lnd_40648b57da4a,17091.14,0.2898,12,2026-09-11,0.04,683.65
loan_c96e7c86fae0,off_14929860c201,brw_31a17bb36885,lnd_f0806e150f18,3936.65,0.1379,60,2026-09-09,0.032,125.97
loan_50bcb27ba982,off_40007650b93d,brw_9939bb5eb1b6,lnd_68d1bb39a009,28172.5,0.2036,48,2026-05-31,0.03,845.17
loan_015e3349af7e,off_b6e6c673889e,brw_340169dacf54,lnd_5201a46cec3a,3396.95,0.0997,48,2026-01-02,0.025,84.92
loan_d94a359b241e,off_17643ec5fba7,brw_042ea74d9bf8,lnd_68d1bb39a009,11239.09,0.1454,12,2026-06-13,0.03,337.17
loan_c6cd3c10fb67,off_363d57894f31,brw_dbcbcb0c0380,lnd_abf7ad1fc508,5026.87,0.2669,24,2026-05-08,0.045,226.21
loan_bb031925494b,off_d3efe8a9978f,brw_dbcbcb0c0380,lnd_40648b57da4a,10598.71,0.2561,24,2026-05-26,0.04,423.95
loan_7eb5a8f142ba,off_40139bd4f7bd,brw_124d5cbeb3f0,lnd_68d1bb39a009,6304.46,0.1643,36,2026-05-09,0.03,189.13
loan_8ead6e038707,off_fe5e9ccc5aa5,brw_730e9eb558bc,lnd_68d1bb39a009,12051.7,0.1697,36,2026-09-19,0.03,361.55
loan_19bed44fd772,off_41afad3092d5,brw_4fc4343ab55f,lnd_f0806e150f18,7807.21,0.1235,60,2026-04-24,0.032,249.83
loan_e1a0e8604684,off_69eb31aa5f0f,brw_4fc4343ab55f,lnd_5201a46cec3a,27905.98,0.1203,48,2026-05-28,0.025,697.65
loan_1cad839baa2c,off_97892b389e78,brw_17210a240029,lnd_2e2adcc3d662,23342.1,0.1642,24,2026-04-12,0.028,653.58
loan_44f8430e8c37,off_4c6afdc97821,brw_fe8404d31a66,lnd_68d1bb39a009,8237.15,0.1624,12,2026-08-28,0.03,247.11
loan_9eb50ecbcb52,off_7a5a11d3523a,brw_b5ffd52f58f1,lnd_2e2adcc3d662,8326.34,0.1478,48,2026-09-19,0.028,233.14
loan_a812fae7c11d,off_f27730c35eed,brw_3f227f335efd,lnd_eb741dcfd1a0,32373.23,0.1026,24,2026-09-19,0.022,712.21
loan_8b20acb14e74,off_c52ddd9de7d2,brw_03770812c88b,lnd_abf7ad1fc508,10191.05,0.25,24,2026-07-17,0.045,458.6
loan_3f2f5082ea88,off_05aad8967288,brw_330681bc60b0,lnd_abf7ad1fc508,24215.26,0.3279,60,2025-11-18,0.045,1089.69
loan_7a3eb61fcd6c,off_b8bee55c3a2f,brw_330681bc60b0,lnd_40648b57da4a,5582.23,0.2867,12,2025-08-13,0.04,223.29
loan_2575f530880f,off_a94449409c1f,brw_d4440b946823,lnd_5201a46cec3a,22030.71,0.1638,48,2026-05-05,0.025,550.77
loan_844a8fea33ff,off_b85f9da14c0a,brw_9c9ca45321c2,lnd_eb741dcfd1a0,23318.74,0.0944,24,2026-08-24,0.022,513.01
loan_e623a01aa96f,off_f4b92b3cca9a,brw_9c9ca45321c2,lnd_68d1bb39a009,6744.66,0.1438,60,2026-08-15,0.03,202.34
loan_82fbbda6edb6,off_f1540b09a06d,brw_1d05a92d4785,lnd_68d1bb39a009,2686.8,0.1428,36,2026-06-25,0.03,80.6
loan_966c08c9a534,off_74519da674d2,brw_504f357e7e7b,lnd_abf7ad1fc508,31170.78,0.2597,60,2026-07-06,0.045,1402.69
loan_b667ce046034,off_ef9420f27f6b,brw_6c3b668c6ef3,lnd_abf7ad1fc508,25274.93,0.3057,60,2026-02-27,0.045,1137.37
loan_3457da34d2e6,off_92777e15da8f,brw_20499cab1ff5,lnd_abf7ad1fc508,33793.02,0.2496,48,2026-08-30,0.045,1520.69
loan_98bf3cdecedf,off_be29dc505806,brw_20499cab1ff5,lnd_f0806e150f18,4672.93,0.2022,12,2026-09-19,0.032,149.53
loan_676fc0e59682,off_d87bb57997c2,brw_37e75ec8a4bc,lnd_40648b57da4a,14029.63,0.318,60,2026-08-12,0.04,561.19
loan_59497a737442,off_21cd0a3e4473,brw_37e75ec8a4bc,lnd_abf7ad1fc508,17335.43,0.3263,60,2026-06-22,0.045,780.09
loan_9a5edf42a55b,off_46f7388a029f,brw_37e75ec8a4bc,lnd_abf7ad1fc508,27162.13,0.2602,36,2026-06-15,0.045,1222.3
